p,replication,n_edges,spectral_gap,clustering,frustration,optimal_welfare,sa_mean_welfare,sa_std_welfare,sa_approx_ratio,sa_coincidence_rate,sa_mean_cooperation,sa_mean_logical_entropy,sqa_mean_welfare,sqa_std_welfare,sqa_approx_ratio,sqa_coincidence_rate,sqa_mean_cooperation,sqa_mean_logical_entropy,eq_welfare,eq_approx_ratio,eq_coincidence,eq_ground_state_overlap,eq_cooperation,eq_logical_entropy
0.2,1,8,0.0,0.5,1.0,24.0,24.0,0.0,1.0,0.25,0.892,0.18120000000000006,23.9,0.4380858271151807,0.9958333333333332,0.12,0.862,0.2260000000000001,24.0,1.0,true,1.0,1.0,0.0
0.2,2,3,0.0,0.0,0.0,9.0,9.0,0.0,1.0,0.01,0.726,0.37720000000000004,8.9,0.4380858271151806,0.9888888888888888,0.01,0.713,0.3774,9.0,1.0,true,1.0,1.0,0.0
0.2,3,11,0.0,0.15,1.0,33.0,33.0,0.0,1.0,0.52,0.9520000000000002,0.0864,33.0,0.0,1.0,0.31,0.9310000000000003,0.12419999999999998,33.0,1.0,true,1.0,1.0,0.0
0.2,4,12,0.2901960094257846,0.0,0.0,36.0,36.0,0.0,1.0,1.0,1.0,0.0,36.0,0.0,1.0,1.0,1.0,0.0,36.0,1.0,true,1.0,1.0,0.0
0.2,5,9,0.0,0.0,0.0,27.0,27.0,0.0,1.0,0.51,0.951,0.0882,26.67,0.9433981132056604,0.9877777777777778,0.27,0.9200000000000002,0.1412,27.0,1.0,true,1.0,1.0,0.0
0.2,6,9,0.0,0.2,1.0,27.0,27.0,0.0,1.0,0.23,0.889,0.18620000000000003,26.97,0.3,0.9988888888888888,0.15,0.8760000000000002,0.20720000000000002,27.0,1.0,true,1.0,1.0,0.0
0.2,7,4,0.0,0.0,0.0,12.0,12.0,0.0,1.0,0.06,0.7909999999999999,0.31020000000000003,11.82,0.5752469825293228,0.985,0.01,0.7349999999999999,0.3662,12.0,1.0,true,1.0,1.0,0.0
0.2,8,11,0.24361605245747123,0.0,0.0,33.0,33.0,0.0,1.0,1.0,1.0,0.0,32.82,0.7160497697278259,0.9945454545454546,0.94,0.9939999999999999,0.0108,33.0,1.0,true,1.0,1.0,0.0
0.2,9,10,0.09818508096151876,0.0,0.0,30.0,30.0,0.0,1.0,1.0,1.0,0.0,29.6,1.1976407785072427,0.9866666666666667,0.89,0.9869999999999999,0.022600000000000002,30.0,1.0,true,1.0,1.0,0.0
0.2,10,9,0.0,0.21428571428571427,1.0,27.0,27.0,0.0,1.0,0.59,0.9590000000000001,0.0738,26.85,0.6571287406727709,0.9944444444444446,0.29,0.9260000000000003,0.132,27.0,1.0,true,1.0,1.0,0.0
0.2,11,8,0.0,0.0,0.0,24.0,24.0,0.0,1.0,0.53,0.9530000000000001,0.08460000000000001,23.42,1.2727128426310388,0.9758333333333334,0.31,0.9200000000000003,0.1392,24.0,1.0,true,1.0,1.0,0.0
0.2,12,9,0.0,0.35294117647058826,1.0,27.0,27.0,0.0,1.0,0.28,0.907,0.15900000000000003,27.0,0.0,1.0,0.11,0.8610000000000001,0.23020000000000007,27.0,1.0,true,1.0,1.0,0.0
0.2,13,13,0.0,0.11538461538461539,1.0,39.0,39.0,0.0,1.0,0.49,0.9490000000000003,0.09179999999999999,39.0,0.0,1.0,0.38,0.9380000000000002,0.1116,39.0,1.0,true,1.0,1.0,0.0
